年,月,地域区分,データ区分,地域コード,地域名称,人数
2021,1,都道府県,観光来訪者数,1,北海道,1585278
2021,1,都道府県,観光来訪者数,2,青森県,374381
2021,1,都道府県,観光来訪者数,3,岩手県,439588
2021,1,都道府県,観光来訪者数,4,宮城県,899591
2021,1,都道府県,観光来訪者数,5,秋田県,308535
2021,1,都道府県,観光来訪者数,6,山形県,351143
2021,1,都道府県,観光来訪者数,7,福島県,821882
2021,1,都道府県,観光来訪者数,8,茨城県,1224689
2021,1,都道府県,観光来訪者数,9,栃木県,1338365
2021,1,都道府県,観光来訪者数,10,群馬県,1030539
2021,1,都道府県,観光来訪者数,11,埼玉県,1381012
2021,1,都道府県,観光来訪者数,12,千葉県,2484169
2021,1,都道府県,観光来訪者数,13,東京都,4842282
2021,1,都道府県,観光来訪者数,14,神奈川県,1699616
2021,1,都道府県,観光来訪者数,15,新潟県,961282
2021,1,都道府県,観光来訪者数,16,富山県,211544
2021,1,都道府県,観光来訪者数,17,石川県,338745
2021,1,都道府県,観光来訪者数,18,福井県,228140
2021,1,都道府県,観光来訪者数,19,山梨県,591326
2021,1,都道府県,観光来訪者数,20,長野県,1772236
2021,1,都道府県,観光来訪者数,21,岐阜県,1145631
2021,1,都道府県,観光来訪者数,22,静岡県,2466595
2021,1,都道府県,観光来訪者数,23,愛知県,1794310
2021,1,都道府県,観光来訪者数,24,三重県,1027771
2021,1,都道府県,観光来訪者数,25,滋賀県,775990
2021,1,都道府県,観光来訪者数,26,京都府,1251941
2021,1,都道府県,観光来訪者数,27,大阪府,1967634
2021,1,都道府県,観光来訪者数,28,兵庫県,2567446
2021,1,都道府県,観光来訪者数,29,奈良県,716018
2021,1,都道府県,観光来訪者数,30,和歌山県,416410
2021,1,都道府県,観光来訪者数,31,鳥取県,194172
2021,1,都道府県,観光来訪者数,32,島根県,364869
2021,1,都道府県,観光来訪者数,33,岡山県,865185
2021,1,都道府県,観光来訪者数,34,広島県,885662
2021,1,都道府県,観光来訪者数,35,山口県,552075
2021,1,都道府県,観光来訪者数,36,徳島県,288077
2021,1,都道府県,観光来訪者数,37,香川県,312761
2021,1,都道府県,観光来訪者数,38,愛媛県,441905
2021,1,都道府県,観光来訪者数,39,高知県,253703
2021,1,都道府県,観光来訪者数,40,福岡県,1414178
2021,1,都道府県,観光来訪者数,41,佐賀県,434895
2021,1,都道府県,観光来訪者数,42,長崎県,255433
2021,1,都道府県,観光来訪者数,43,熊本県,813109
2021,1,都道府県,観光来訪者数,44,大分県,643879
2021,1,都道府県,観光来訪者数,45,宮崎県,403925
2021,1,都道府県,観光来訪者数,46,鹿児島県,557816
2021,1,都道府県,観光来訪者数,47,沖縄県,472074
2021,2,都道府県,観光来訪者数,1,北海道,1620135
2021,2,都道府県,観光来訪者数,2,青森県,392537
2021,2,都道府県,観光来訪者数,3,岩手県,446793
2021,2,都道府県,観光来訪者数,4,宮城県,884677
2021,2,都道府県,観光来訪者数,5,秋田県,369896
2021,2,都道府県,観光来訪者数,6,山形県,376470
2021,2,都道府県,観光来訪者数,7,福島県,841942
2021,2,都道府県,観光来訪者数,8,茨城県,1261304
2021,2,都道府県,観光来訪者数,9,栃木県,1372801
2021,2,都道府県,観光来訪者数,10,群馬県,1103474
2021,2,都道府県,観光来訪者数,11,埼玉県,1484907
2021,2,都道府県,観光来訪者数,12,千葉県,2354147
2021,2,都道府県,観光来訪者数,13,東京都,5056299
2021,2,都道府県,観光来訪者数,14,神奈川県,1875420
2021,2,都道府県,観光来訪者数,15,新潟県,1268761
2021,2,都道府県,観光来訪者数,16,富山県,299281
2021,2,都道府県,観光来訪者数,17,石川県,446722
2021,2,都道府県,観光来訪者数,18,福井県,339824
2021,2,都道府県,観光来訪者数,19,山梨県,593369
2021,2,都道府県,観光来訪者数,20,長野県,1891673
2021,2,都道府県,観光来訪者数,21,岐阜県,1334608
2021,2,都道府県,観光来訪者数,22,静岡県,2559812
2021,2,都道府県,観光来訪者数,23,愛知県,1888976
2021,2,都道府県,観光来訪者数,24,三重県,961011
2021,2,都道府県,観光来訪者数,25,滋賀県,893952
2021,2,都道府県,観光来訪者数,26,京都府,1227186
2021,2,都道府県,観光来訪者数,27,大阪府,1905883
